"season","pageIDs201415","teamName","teamShortName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint"
"2014 / 2015",64563,"UC Capitals","UC Capitals","Away","Townsville","58",106,-48,"18","61","29.5","4","15","26.7","18","20","90","24","10","34","10","22","3","1","3","10","18","6","7","0","22","22"
"2014 / 2015",64564,"Bendigo","Bendigo","Home","West Coast","83",70,13,"33","72","45.8","5","16","31.3","12","18","66.7","31","9","40","15","12","13","2","2","13","21","17","2","4","7","46"
"2014 / 2015",64564,"West Coast","West Coast","Away","Bendigo","70",83,-13,"28","67","41.8","8","24","33.3","6","8","75","28","9","37","13","20","5","1","2","21","13","9","6","0","29","26"
"2014 / 2015",64565,"Sydney Uni","Sydney Uni","Home","Dandenong","78",93,-15,"32","66","48.5","2","12","16.7","12","20","60","26","6","32","19","14","5","4","6","15","18","12","8","0","16","38"
"2014 / 2015",64565,"Dandenong","Dandenong","Away","Sydney Uni","93",78,15,"35","74","47.3","9","19","47.4","14","16","87.5","28","11","39","15","10","3","6","4","18","15","14","4","0","9","26"
"2014 / 2015",64566,"Adelaide","Adelaide","Home","West Coast","78",61,17,"29","68","42.6","8","20","40","12","16","75","35","15","50","21","19","4","1","1","17","17","18","4","0","25","38"
"2014 / 2015",64566,"West Coast","West Coast","Away","Adelaide","61",78,-17,"20","70","28.6","6","27","22.2","15","18","83.3","21","10","31","10","13","8","1","1","17","17","4","4","0","11","22"
"2014 / 2015",64567,"UC Capitals","UC Capitals","Home","Dandenong","84",89,-5,"28","67","41.8","8","25","32","20","22","90.9","19","12","31","22","14","6","2","4","19","21","17","6","4","10","30"
"2014 / 2015",64567,"Dandenong","Dandenong","Away","UC Capitals","89",84,5,"34","61","55.7","3","11","27.3","18","23","78.3","21","9","30","10","13","7","4","2","22","19","17","12","0","8","36"
"2014 / 2015",64568,"UC Capitals","UC Capitals","Home","West Coast","87",52,35,"34","70","48.6","7","21","33.3","12","18","66.7","38","10","48","18","14","7","3","3","21","21","9","10","2","33","44"
"2014 / 2015",64568,"West Coast","West Coast","Away","UC Capitals","52",87,-35,"17","63","27","5","19","26.3","13","16","81.3","24","5","29","5","18","8","3","2","21","20","10","6","0","16","18"
"2014 / 2015",64569,"Melbourne","Melbourne","Home","Adelaide","96",66,30,"33","67","49.3","7","17","41.2","23","28","82.1","29","9","38","21","8","4","4","4","13","20","8","12","4","21","46"
"2014 / 2015",64569,"Adelaide","Adelaide","Away","Melbourne","66",96,-30,"27","77","35.1","4","19","21.1","8","11","72.7","23","13","36","12","12","1","4","4","20","13","4","5","0","23","38"
"2014 / 2015",64570,"Sydney Uni","Sydney Uni","Home","West Coast","80",55,25,"33","74","44.6","6","13","46.2","8","8","100","27","12","39","16","14","10","7","5","15","13","20","10","0","41","34"
"2014 / 2015",64570,"West Coast","West Coast","Away","Sydney Uni","55",80,-25,"18","62","29","6","20","30","13","14","92.9","24","9","33","9","19","5","5","7","14","15","6","6","0","16","24"
"2014 / 2015",64571,"Townsville","Fire","Home","Dandenong","87",92,-5,"35","77","45.5","4","19","21.1","13","15","86.7","30","8","38","22","15","2","4","3","15","18","10","4","0","19","46"
"2014 / 2015",64571,"Dandenong","Rangers","Away","Townsville","92",87,5,"38","79","48.1","10","21","47.6","6","12","50","27","11","38","12","12","4","3","4","18","15","11","6","0","6","32"
"2014 / 2015",64572,"Bendigo","Bendigo","Home","Adelaide","75",64,11,"29","72","40.3","5","18","27.8","12","17","70.6","16","17","33","22","11","8","6","1","16","21","16","16","2","17","36"
"2014 / 2015",64572,"Adelaide","Adelaide","Away","Bendigo","64",75,-11,"23","54","42.6","4","15","26.7","14","14","100","22","5","27","11","18","3","1","6","21","16","10","4","0","21","24"
