"season","round","date","time","gameIDs201516","teamName","homeAway","oppName","pointsTotal","oppPointsTotal","pointsMargin","teamResult","fieldGoalsMade","fieldGoalsAtt","fieldGoalsPct","threesMade","threesAtt","threesPct","freeThrowsMade","freeThrowsAtt","freeThrowsPct","reboundsDef","reboundsOff","reboundsTotal","assists","turnovers","steals","blocks","blocksReceived","foulsPersonal","foulsOn","pointsFromTurnovers","pointsSecondChance","pointsFastBreak","pointsBench","pointsInThePaint","possess","offRtg","defRtg","pointsMarginRtg","offDefRatio","trueShootingRtg","eFGpct","turnoverRate","freeThrowRate","offReboundRate","oppPossess","oppOffRtg","oppDefRtg","oppPointsMarginRtg","oppOffDefRatio","oppTrueShootingRtg","oppeFGpct","oppTurnoverRate","oppFreeThrowRate","oppOffReboundRate"
"2015 / 2016","13",2016-01-07,"1900","20160107-1900_SYDvsPER","Sydney","Home","Perth",83,73,10,"Win",28,63,44.4,6,19,31.6,21,21,100,25,9,34,18,13,5,8,2,16,19,13,8,0,22,28,76,109.2,96.1,13.1,1.14,56.9,49.2,17.1,33.3,31,79,92.4,105.1,-12.7,0.88,47.6,43.6,21.5,20,35.9
"2015 / 2016","13",2016-01-07,"1900","20160107-1900_SYDvsPER","Perth","Away","Sydney",73,83,-10,"Loss",27,70,38.6,7,27,25.9,12,14,85.7,20,14,34,11,17,8,2,8,19,16,16,10,0,18,32,79,92.4,105.1,-12.7,0.88,47.6,43.6,21.5,20,35.9,76,109.2,96.1,13.1,1.14,56.9,49.2,17.1,33.3,31
"2015 / 2016","13",2016-01-08,"1930","20160108-1930_ADLvsDAN","Adelaide","Home","Dandenong",63,79,-16,"Loss",22,67,32.8,6,21,28.6,13,20,65,17,14,31,15,16,10,0,5,20,14,14,8,2,13,22,78,80.8,101.3,-20.5,0.8,41.2,37.3,20.5,29.9,36.8,76,103.9,82.9,21,1.25,59.1,53.6,22.4,45.5,29.2
"2015 / 2016","13",2016-01-08,"1930","20160108-1930_ADLvsDAN","Dandenong","Away","Adelaide",79,63,16,"Win",28,55,50.9,3,9,33.3,20,25,80,24,7,31,18,17,7,5,0,14,20,18,6,2,16,26,76,103.9,82.9,21,1.25,59.1,53.6,22.4,45.5,29.2,78,80.8,101.3,-20.5,0.8,41.2,37.3,20.5,29.9,36.8
"2015 / 2016","13",2016-01-09,"1830","20160109-1830_DANvsSYD","Dandenong","Home","Sydney",64,61,3,"Win",22,67,32.8,3,8,37.5,17,20,85,27,14,41,7,13,5,4,6,18,22,10,2,6,16,22,75,85.3,81.3,4,1.05,41.8,35.1,17.3,29.9,36.8,75,81.3,85.3,-4,0.95,39,35.9,14.7,21.1,34.1
"2015 / 2016","13",2016-01-09,"1830","20160109-1830_DANvsSYD","Sydney","Away","Dandenong",61,64,-3,"Loss",23,71,32.4,5,21,23.8,10,15,66.7,24,14,38,9,11,4,6,4,22,18,11,11,4,25,30,75,81.3,85.3,-4,0.95,39,35.9,14.7,21.1,34.1,75,85.3,81.3,4,1.05,41.8,35.1,17.3,29.9,36.8
"2015 / 2016","13",2016-01-09,"1900","20160109-1900_BENvsMEL","Bendigo","Home","Melbourne",81,74,7,"Win",28,62,45.2,5,18,27.8,20,28,71.4,20,13,33,19,9,10,3,1,17,22,6,4,0,3,42,70,115.7,105.7,10,1.09,53.8,49.2,12.9,45.2,37.1,71,104.2,114.1,-9.89999999999999,0.91,55.6,57,16.9,35.1,25.9
"2015 / 2016","13",2016-01-09,"1900","20160109-1900_BENvsMEL","Melbourne","Away","Bendigo",74,81,-7,"Loss",27,57,47.4,11,21,52.4,9,20,45,22,7,29,14,12,1,1,3,22,17,10,8,4,12,24,71,104.2,114.1,-9.89999999999999,0.91,55.6,57,16.9,35.1,25.9,70,115.7,105.7,10,1.09,53.8,49.2,12.9,45.2,37.1
"2015 / 2016","13",2016-01-09,"1900","20160109-1900_CANvsPER","Canberra","Home","Perth",63,89,-26,"Loss",24,60,40,5,20,25,10,12,83.3,26,13,39,12,27,7,5,2,16,19,NA,NA,NA,NA,NA,79,79.7,112.7,-33,0.71,47.9,44.2,34.2,20,38.2,82,108.5,76.8,31.7,1.41,50.2,48.1,13.4,19.8,39.5
"2015 / 2016","13",2016-01-09,"1900","20160109-1900_CANvsPER","Perth","Away","Canberra",89,63,26,"Win",34,81,42,10,35,28.6,11,16,68.8,21,17,38,14,11,15,2,5,19,16,NA,NA,NA,NA,NA,82,108.5,76.8,31.7,1.41,50.2,48.1,13.4,19.8,39.5,79,79.7,112.7,-33,0.71,47.9,44.2,34.2,20,38.2
"2015 / 2016","13",2016-01-09,"1900","20160109-1900_TSVvsSEQ","Townsville","Home","South-East Queensland",80,90,-10,"Loss",31,73,42.5,8,21,38.1,10,15,66.7,28,9,37,19,16,2,4,4,16,13,10,9,0,8,40,87,92,103.4,-11.4,0.89,49.9,47.9,18.4,20.5,23.7,83,108.4,96.4,12,1.12,56,48.5,15.7,38.2,24.3
"2015 / 2016","13",2016-01-09,"1900","20160109-1900_TSVvsSEQ","South-East Queensland","Away","Townsville",90,80,10,"Win",28,68,41.2,10,21,47.6,24,26,92.3,29,9,38,16,13,3,4,4,13,16,18,12,2,2,20,83,108.4,96.4,12,1.12,56,48.5,15.7,38.2,24.3,87,92,103.4,-11.4,0.89,49.9,47.9,18.4,20.5,23.7
"2015 / 2016","14",2016-01-22,"1930","20160122-1930_BENvsSYD","Bendigo","Home","Sydney",81,66,15,"Win",30,68,44.1,5,16,31.2,16,20,80,31,15,46,19,14,4,2,1,14,16,8,11,6,5,48,76,106.6,86.8,19.8,1.23,52.3,47.8,18.4,29.4,44.1,75,88,108,-20,0.81,44.1,42.4,10.7,8.3,20.5
"2015 / 2016","14",2016-01-22,"1930","20160122-1930_BENvsSYD","Sydney","Away","Bendigo",66,81,-15,"Loss",28,72,38.9,5,21,23.8,5,6,83.3,19,8,27,14,8,3,1,2,16,14,13,7,0,17,36,75,88,108,-20,0.81,44.1,42.4,10.7,8.3,20.5,76,106.6,86.8,19.8,1.23,52.3,47.8,18.4,29.4,44.1
"2015 / 2016","14",2016-01-22,"1930","20160122-1930_DANvsADL","Dandenong","Home","Adelaide",63,77,-14,"Loss",25,60,41.7,5,14,35.7,8,10,80,22,4,26,14,15,6,2,4,22,15,11,4,2,10,22,75,84,102.7,-18.7,0.82,48.6,45.8,20,16.7,13.8,74,104.1,85.1,19,1.22,45.1,38.4,16.2,35.6,50
"2015 / 2016","14",2016-01-22,"1930","20160122-1930_DANvsADL","Adelaide","Away","Dandenong",77,63,14,"Win",26,73,35.6,4,15,26.7,21,26,80.8,25,22,47,15,12,6,4,2,15,22,14,11,4,11,32,74,104.1,85.1,19,1.22,45.1,38.4,16.2,35.6,50,75,84,102.7,-18.7,0.82,48.6,45.8,20,16.7,13.8
"2015 / 2016","14",2016-01-23,"1900","20160123-1900_SEQvsCAN","South-East Queensland","Home","Canberra",115,75,40,"Win",44,77,57.1,15,29,51.7,12,17,70.6,28,16,44,16,14,9,0,0,25,18,23,20,0,14,42,82,140.2,91.5,48.7,1.53,67.6,66.9,17.1,22.1,48.5,85,88.2,135.3,-47.1,0.65,53.3,46.6,20,44.8,3.4
"2015 / 2016","14",2016-01-23,"1900","20160123-1900_SEQvsCAN","Canberra","Away","South-East Queensland",75,115,-40,"Loss",25,58,43.1,4,14,28.6,21,26,80.8,17,1,18,9,17,3,0,0,18,25,9,2,2,32,26,85,88.2,135.3,-47.1,0.65,53.3,46.6,20,44.8,3.4,82,140.2,91.5,48.7,1.53,67.6,66.9,17.1,22.1,48.5
